descripcion,valor,categoria_final,pais,moneda
utiles escolares,197752,educacion,CL,CLP
compra en disco,36707,alimentacion,AR,ARS
expensas,706945,vivienda,AR,ARS
plan de internet hogar,78065,servicios,AR,ARS
carga sube,27147,transporte,AR,ARS
pago udemy,64886,educacion,CL,CLP
compra en salcobrand,64048,salud,CL,CLP
barugel azulay,874416,vivienda,AR,ARS
taller mecanico,38004,transporte,CL,CLP
cine hoyts,22921,ocio,CL,CLP
carniceria,55069,alimentacion,AR,ARS
curso de ingles,44339,educacion,AR,ARS
entrada a recital,38987,ocio,AR,ARS
pago plan cge,19981,servicios,CL,CLP
cine hoyts,49613,ocio,CL,CLP
viaje en beat,16901,transporte,CL,CLP
seguro de hogar,382318,vivienda,CL,CLP
compra en spotify,47029,ocio,CL,CLP
netflix,44636,ocio,AR,ARS
recarga bip!,13649,transporte,CL,CLP
carga sube,32160,transporte,AR,ARS
pago sodimac,708422,vivienda,AR,ARS
changomas,79638,alimentacion,AR,ARS
regalo cumpleanos,45850,otros,AR,ARS
compra en clinica davila,68483,salud,CL,CLP
matricula colegio,209213,educacion,CL,CLP
feria la vega central,20256,alimentacion,CL,CLP
carga nafta en puma,35478,transporte,AR,ARS
compra en jumbo,50286,alimentacion,CL,CLP
clinica davila,44210,salud,CL,CLP
entrada a concierto,21217,ocio,CL,CLP
compra en playstation store,49612,ocio,CL,CLP
consulta en farmacity,33827,salud,AR,ARS
salida a un bar,24555,ocio,CL,CLP
duoc uc,212061,educacion,CL,CLP
pago cuenta wom,31711,servicios,CL,CLP
mensualidad universidad de chile,214269,educacion,CL,CLP
compra en ekono,15587,alimentacion,CL,CLP
paseo,32339,ocio,AR,ARS
pago factura personal,50266,servicios,AR,ARS
ypf,46982,transporte,AR,ARS
feria lo valledor,20003,alimentacion,CL,CLP
platzi,197009,educacion,CL,CLP
compra en jumbo,27298,alimentacion,CL,CLP
entrada a recital,38201,ocio,AR,ARS
salida fin de semana,9299,ocio,AR,ARS
sportlife,13649,otros,CL,CLP
entrada a recital,42345,ocio,AR,ARS
changomas,70787,alimentacion,AR,ARS
curso de ingles,300434,educacion,AR,ARS
arriendo departamento,334519,vivienda,CL,CLP
compra en clinica las condes,86381,salud,CL,CLP
isapre vida tres,35162,salud,CL,CLP
utiles escolares,150165,educacion,CL,CLP
consulta en farmacia del pueblo,57516,salud,AR,ARS
pago en sodimac,339812,vivienda,CL,CLP
entrada a concierto,37047,ocio,CL,CLP
plan de internet hogar,65603,servicios,AR,ARS
consulta en farmacity,36552,salud,AR,ARS
compra en dia,49288,alimentacion,AR,ARS
pago factura aysa,93156,servicios,AR,ARS
pago cuenta entel,24388,servicios,CL,CLP
paseo,64119,ocio,AR,ARS
viaje en copec,5614,transporte,CL,CLP
suscripcion a hbo max,35671,ocio,AR,ARS
taller mecanico,37595,transporte,AR,ARS
entrada spotify,60800,ocio,AR,ARS
pago cuota farmacia del pueblo,36164,salud,AR,ARS
reparacion del hogar,724814,vivienda,AR,ARS
pago mensualidad pacific gym,12693,otros,CL,CLP
plan de internet hogar,27094,servicios,AR,ARS
compra en megatlon,53849,otros,AR,ARS
compra en easy,261536,vivienda,CL,CLP
barugel azulay,674486,vivienda,AR,ARS
pago en sodimac,262298,vivienda,CL,CLP
beat,37382,transporte,CL,CLP
carga sube,10616,transporte,AR,ARS
compra en farmacia del pueblo,22732,salud,AR,ARS
entrada a concierto,24035,ocio,CL,CLP
expensas,809462,vivienda,AR,ARS
puma,15955,transporte,AR,ARS
seguro de hogar,390146,vivienda,CL,CLP
pago en pedidosya,24445,alimentacion,CL,CLP
pago plan vtr,50426,servicios,CL,CLP
carga sube,10703,transporte,AR,ARS
plan de internet hogar,69362,servicios,AR,ARS
viaje en terpel,21725,transporte,CL,CLP
prevencion salud,107434,salud,AR,ARS
consulta en farmacia del pueblo,19794,salud,AR,ARS
pago en sodimac,261204,vivienda,CL,CLP
seguro de hogar,408975,vivienda,AR,ARS
compra en megatlon,9900,otros,AR,ARS
colectivo,40784,transporte,AR,ARS
compra en steam,25562,ocio,CL,CLP
plan de internet hogar,114841,servicios,AR,ARS
matricula colegio,222837,educacion,CL,CLP
platzi,242560,educacion,CL,CLP
pago mensualidad megatlon,46686,otros,AR,ARS
suscripcion a cinemark,18362,ocio,CL,CLP
gasto imprevisto,11851,otros,CL,CLP
clinica indisa,71550,salud,CL,CLP
recarga bip!,16065,transporte,CL,CLP
compra en spotify,22332,ocio,CL,CLP
pedidosya,59327,alimentacion,AR,ARS
compra en burger king,15328,alimentacion,AR,ARS
pago cuenta claro,76880,servicios,CL,CLP
inscripcion en coursera,85935,educacion,AR,ARS
kfc,45086,alimentacion,CL,CLP
pago cuota farmacity,42399,salud,AR,ARS
suscripcion a duoc uc,74349,educacion,CL,CLP
compra en clinica davila,58523,salud,CL,CLP
pago duoc uc,179448,educacion,CL,CLP
consulta optica,36566,salud,CL,CLP
permiso de circulacion,21292,transporte,CL,CLP
clinica las condes,54808,salud,CL,CLP
disney plus,21038,ocio,AR,ARS
viaje en copec,31173,transporte,CL,CLP
isapre banmedica,85931,salud,CL,CLP
compra en dia,40215,alimentacion,AR,ARS
pacific gym,48149,otros,CL,CLP
isapre cruz blanca,81720,salud,CL,CLP
suscripcion a platzi,238411,educacion,CL,CLP
construmart,315747,vivienda,CL,CLP
consulta en farmacia del pueblo,128628,salud,AR,ARS
pago plan vtr,68509,servicios,CL,CLP
compra en cine hoyts,14760,ocio,CL,CLP
pago barugel azulay,439116,vivienda,AR,ARS
pago en clinica las condes,74621,salud,CL,CLP
salida a un bar,11917,ocio,AR,ARS
pago en terpel,16050,transporte,CL,CLP
jardin de infantes,240025,educacion,AR,ARS
paseo,38769,ocio,CL,CLP
compra en spotify,11252,ocio,AR,ARS
carga nafta en cabify,31837,transporte,AR,ARS
carga nafta en axion,10814,transporte,AR,ARS
cge,60588,servicios,CL,CLP
pedido en ekono,32648,alimentacion,CL,CLP
compra en farmacity,86541,salud,AR,ARS
turbus,15912,transporte,CL,CLP
carga nafta en shell,53740,transporte,AR,ARS
entrada playstation store,6241,ocio,CL,CLP
transferencia a familiar,35987,otros,AR,ARS
compra en sportlife,35281,otros,CL,CLP
salida a un bar,14811,ocio,AR,ARS
claro,86655,servicios,AR,ARS
multa,69045,otros,AR,ARS
pago en redsalud,19871,salud,CL,CLP
pago en construmart,428164,vivienda,CL,CLP
suscripcion a coursera,92767,educacion,CL,CLP
transferencia a familiar,47984,otros,CL,CLP
salida a un bar,42153,ocio,AR,ARS
pedido en acuenta,9652,alimentacion,CL,CLP
udemy,121645,educacion,AR,ARS
metrogas,61307,servicios,AR,ARS
reparacion del hogar,609307,vivienda,AR,ARS
pago cuota farmacity,62363,salud,AR,ARS
steam,10862,ocio,CL,CLP
compra en sportlife,8962,otros,CL,CLP
compra en megatlon,22666,otros,AR,ARS
permiso de circulacion,14120,transporte,CL,CLP
pago en clinica davila,10224,salud,CL,CLP
kfc,9940,alimentacion,CL,CLP
compra en easy,158273,vivienda,CL,CLP
integramedica,45730,salud,CL,CLP
compra en megatlon,35686,otros,AR,ARS
pago mensualidad sportclub,44003,otros,AR,ARS
dia,54769,alimentacion,AR,ARS
entrada playstation store,30856,ocio,CL,CLP
pago plan telecentro,70785,servicios,AR,ARS
cinemark,47042,ocio,CL,CLP
pago plan movistar,57514,servicios,CL,CLP
compra en changomas,34406,alimentacion,AR,ARS
pago factura personal,94588,servicios,AR,ARS
compra en sodimac,894849,vivienda,AR,ARS
shell,33847,transporte,CL,CLP
curso de ingles,161146,educacion,AR,ARS
pago en condor bus,28164,transporte,CL,CLP
fonasa,21299,salud,CL,CLP
compra en farmacias ahumada,84887,salud,CL,CLP
cuenta de agua aguas andinas,39448,servicios,CL,CLP
pago en telepizza,43618,alimentacion,CL,CLP
matricula colegio,34875,educacion,CL,CLP
matricula colegio,235408,educacion,CL,CLP
pago en sodimac,166073,vivienda,CL,CLP
reparacion del hogar,473899,vivienda,AR,ARS
pacific gym,5628,otros,CL,CLP
estacionamiento,39692,transporte,CL,CLP
pacific gym,39151,otros,CL,CLP
pago barugel azulay,349261,vivienda,AR,ARS
carniceria,48306,alimentacion,AR,ARS
consulta en clinica indisa,86057,salud,CL,CLP
cuenta de agua aguas andinas,77456,servicios,CL,CLP
compra en barugel azulay,696905,vivienda,AR,ARS
disney plus,38617,ocio,AR,ARS
osde,86170,salud,AR,ARS
consulta en cruz verde,21551,salud,CL,CLP
flow,59562,servicios,AR,ARS
compra en sportclub,51222,otros,AR,ARS
cinepolis,42910,ocio,CL,CLP
consulta en farmacia del pueblo,143256,salud,AR,ARS
compra en construmart,324854,vivienda,CL,CLP
multa,44994,otros,CL,CLP
pago factura flow,27878,servicios,AR,ARS
pago platzi,247376,educacion,AR,ARS
pago en terpel,37163,transporte,CL,CLP
pago en coto,15212,alimentacion,AR,ARS
spotify,37042,ocio,AR,ARS
restaurante,12244,alimentacion,AR,ARS
expensas,873167,vivienda,AR,ARS
farmacia del pueblo,119750,salud,AR,ARS
pedido en dia,73065,alimentacion,AR,ARS
donacion,29842,otros,AR,ARS
plan de internet hogar,86151,servicios,AR,ARS
farmacity,141197,salud,AR,ARS
sportclub,47612,otros,AR,ARS
pedido en coto,73803,alimentacion,AR,ARS
peaje autopista,13128,transporte,CL,CLP
pago en integramedica,37530,salud,CL,CLP
pago factura claro,116425,servicios,AR,ARS
alquiler casa,576021,vivienda,AR,ARS
pago en burger king,26859,alimentacion,CL,CLP
compra en barugel azulay,523530,vivienda,AR,ARS
expensas,453541,vivienda,AR,ARS
revision tecnica,20700,transporte,CL,CLP
colectivo,34270,transporte,AR,ARS
flow,102023,servicios,AR,ARS
pago mensualidad pacific gym,34651,otros,CL,CLP
plan de internet hogar,101681,servicios,AR,ARS
taller mecanico,23047,transporte,AR,ARS
taller mecanico,40397,transporte,AR,ARS
copec,20118,transporte,CL,CLP
cabify,30460,transporte,CL,CLP
panaderia,51723,alimentacion,CL,CLP
wom,51669,servicios,CL,CLP
inscripcion en platzi,47620,educacion,AR,ARS
pago udemy,131987,educacion,AR,ARS
entrada ticketek,58543,ocio,AR,ARS
compra en sportclub,39368,otros,AR,ARS
utiles escolares,344701,educacion,AR,ARS
dia,43227,alimentacion,AR,ARS
entrada cine hoyts,30752,ocio,AR,ARS
suscripcion a platzi,178767,educacion,CL,CLP
verduleria de barrio,54095,alimentacion,AR,ARS
sportclub,43190,otros,AR,ARS
arriendo departamento,295371,vivienda,CL,CLP
farmacity,69314,salud,AR,ARS
compra en sportclub,44044,otros,AR,ARS
pago mensualidad sportclub,39684,otros,AR,ARS
consulta en cruz verde,40954,salud,CL,CLP
expensas,390707,vivienda,AR,ARS
farmacia del pueblo,24304,salud,AR,ARS
cuota colegio,171531,educacion,AR,ARS
isapre colmena,64871,salud,CL,CLP
farmacity,139980,salud,AR,ARS
estacionamiento,31014,transporte,AR,ARS
pago en sodimac,230147,vivienda,CL,CLP
permiso de circulacion,33630,transporte,CL,CLP
inscripcion en coursera,195492,educacion,AR,ARS
cuenta de agua aguas andinas,20376,servicios,CL,CLP
compra en sportclub,60364,otros,AR,ARS
utiles escolares,303701,educacion,AR,ARS
reparacion del hogar,445956,vivienda,CL,CLP
suscripcion a duoc uc,253366,educacion,CL,CLP
entrada a recital,12513,ocio,AR,ARS
compra en disco,16450,alimentacion,AR,ARS
examen de laboratorio,70597,salud,AR,ARS
subte,13269,transporte,AR,ARS
pago plan movistar,31507,servicios,AR,ARS
suscripcion a duoc uc,84236,educacion,CL,CLP
alquiler casa,612534,vivienda,AR,ARS
estacionamiento,19910,transporte,AR,ARS
pago plan movistar,103000,servicios,AR,ARS
sesion kinesiologo,36300,salud,CL,CLP
compra en megatlon,30914,otros,AR,ARS
carga nafta en puma,29998,transporte,AR,ARS
cuenta de gas lipigas,59676,servicios,CL,CLP
cine hoyts,12353,ocio,CL,CLP
curso de ingles,118857,educacion,AR,ARS
entrada hbo max,14308,ocio,AR,ARS
compra en farmacity,38948,salud,AR,ARS
pago en uber,11566,transporte,AR,ARS
compra en tottus,49250,alimentacion,CL,CLP
pago plan wom,60544,servicios,CL,CLP
colectivo,29140,transporte,AR,ARS
revision tecnica,15133,transporte,CL,CLP
sportlife,14284,otros,CL,CLP
entrada a concierto,41758,ocio,CL,CLP
carga bencina en condor bus,21258,transporte,CL,CLP
viaje en uber,28647,transporte,AR,ARS
viaje en cabify,36001,transporte,AR,ARS
compra en sodimac,208138,vivienda,CL,CLP
farmacia del pueblo,34903,salud,AR,ARS
compra en rappi,47348,alimentacion,CL,CLP
pago barugel azulay,833447,vivienda,AR,ARS
platzi,343247,educacion,AR,ARS
compra en pricesmart,18730,alimentacion,CL,CLP
viaje en didi,30248,transporte,CL,CLP
compra en sportlife,23233,otros,CL,CLP
disco,23117,alimentacion,AR,ARS
seguro de hogar,766991,vivienda,AR,ARS
pago en lider,20597,alimentacion,CL,CLP
pago mensualidad sportlife,33151,otros,CL,CLP
examen de laboratorio,98683,salud,AR,ARS
suscripcion a platzi,323126,educacion,AR,ARS
compra en spotify,35959,ocio,CL,CLP
compra en mayorista 10,42170,alimentacion,CL,CLP
medife,37146,salud,AR,ARS
alquiler departamento,695521,vivienda,AR,ARS
udemy,346780,educacion,AR,ARS
kiosco,25133,alimentacion,AR,ARS
salida a un bar,32973,ocio,AR,ARS
pago en dominos pizza,27872,alimentacion,CL,CLP
farmacia del pueblo,127196,salud,AR,ARS
isapre consalud,63153,salud,CL,CLP
pago plan gtd manquehue,20873,servicios,CL,CLP
compra en changomas,64774,alimentacion,AR,ARS
recarga bip!,23384,transporte,CL,CLP
cuenta de gas lipigas,76417,servicios,CL,CLP
compra en farmacity,64888,salud,AR,ARS
regalo cumpleanos,15136,otros,AR,ARS
peluqueria,38931,otros,CL,CLP
paseo,39939,ocio,CL,CLP
plan de internet hogar,49716,servicios,AR,ARS
gasto imprevisto,9641,otros,CL,CLP
peluqueria,37421,otros,CL,CLP
peaje,24585,transporte,AR,ARS
isapre vida tres,71698,salud,CL,CLP
carga bencina en terpel,3363,transporte,CL,CLP
duoc uc,144117,educacion,CL,CLP
compra en acuenta,6378,alimentacion,CL,CLP
compra en pedidosya,74247,alimentacion,AR,ARS
uber,33267,transporte,AR,ARS
easy,325452,vivienda,CL,CLP
almacen de barrio,31634,alimentacion,CL,CLP
construmart,312650,vivienda,CL,CLP
feria la vega central,10613,alimentacion,CL,CLP
sportclub,69462,otros,AR,ARS
salida fin de semana,46239,ocio,CL,CLP
plan de internet hogar,106013,servicios,AR,ARS
plan de internet hogar,25210,servicios,AR,ARS
suscripcion a platzi,332338,educacion,AR,ARS
entrada cine hoyts,49583,ocio,CL,CLP
entrada cine hoyts,47163,ocio,AR,ARS
sportlife,24178,otros,CL,CLP
suscripcion a platzi,313518,educacion,AR,ARS
viaje en axion,8252,transporte,AR,ARS
pedido en dominos pizza,38281,alimentacion,CL,CLP
inscripcion en coursera,253788,educacion,CL,CLP
compra en steam,9071,ocio,CL,CLP
consulta en clinica alemana,65981,salud,CL,CLP
cuenta de gas abastible,22463,servicios,CL,CLP
pago plan flow,71563,servicios,AR,ARS
feria la vega central,15016,alimentacion,CL,CLP
consulta en clinica alemana,40683,salud,CL,CLP
pago en pricesmart,20785,alimentacion,CL,CLP
reparacion del hogar,332709,vivienda,AR,ARS
compra en clinica alemana,26747,salud,CL,CLP
compra en coto,16083,alimentacion,AR,ARS
entrada netflix,28758,ocio,CL,CLP
compra en sportlife,37460,otros,CL,CLP
farmacity,115746,salud,AR,ARS
almuerzo,7361,alimentacion,CL,CLP
suscripcion a hbo max,20435,ocio,CL,CLP
mensualidad universidad de chile,249361,educacion,CL,CLP
multa,37706,otros,AR,ARS
compra en pacific gym,42053,otros,CL,CLP
viaje en condor bus,22376,transporte,CL,CLP
consulta dentista,62867,salud,AR,ARS
cuota universidad privada,156907,educacion,AR,ARS
cafe,41980,alimentacion,AR,ARS
arriendo departamento,290219,vivienda,CL,CLP
consulta optica,79607,salud,CL,CLP
transferencia a familiar,10401,otros,CL,CLP
coursera,250548,educacion,CL,CLP
compra en sodimac,638302,vivienda,AR,ARS
pedido en dominos pizza,18880,alimentacion,CL,CLP
suscripcion a platzi,32867,educacion,AR,ARS
pago en clinica davila,11734,salud,CL,CLP
clinica las condes,57976,salud,CL,CLP
compra en pacific gym,9949,otros,CL,CLP
mantencion edificio,230026,vivienda,CL,CLP
spotify,9872,ocio,AR,ARS
compra en coto,36679,alimentacion,AR,ARS
pago cuota farmacity,75162,salud,AR,ARS
pago en beat,27837,transporte,CL,CLP
peluqueria,37432,otros,CL,CLP
compra en vea,40534,alimentacion,AR,ARS
compra en megatlon,53522,otros,AR,ARS
taller mecanico,24118,transporte,CL,CLP
veterinaria,14089,otros,AR,ARS
tramite en notaria,11943,otros,CL,CLP
donacion,32676,otros,CL,CLP
pago factura metrogas,24224,servicios,AR,ARS
pago en clinica indisa,54986,salud,CL,CLP
compra en megatlon,58645,otros,AR,ARS
plan de internet hogar,37326,servicios,AR,ARS
pago en ekono,29898,alimentacion,CL,CLP
plan de internet hogar,118676,servicios,AR,ARS
didi,14909,transporte,CL,CLP
peluqueria,27082,otros,AR,ARS
omint,47545,salud,AR,ARS
alquiler departamento,889179,vivienda,AR,ARS
pago barugel azulay,375623,vivienda,AR,ARS
pedido en pricesmart,7847,alimentacion,CL,CLP
coursera,288298,educacion,AR,ARS
transferencia a familiar,11117,otros,CL,CLP
easy,447582,vivienda,CL,CLP
pago cuenta vtr,59149,servicios,CL,CLP
puma,37314,transporte,AR,ARS
plan de internet hogar,92569,servicios,AR,ARS
plan de internet hogar,119323,servicios,AR,ARS
mantencion edificio,210232,vivienda,CL,CLP
expensas,311691,vivienda,AR,ARS
feria la vega central,54846,alimentacion,CL,CLP
inscripcion en coursera,184272,educacion,AR,ARS
compra en netflix,32225,ocio,CL,CLP
viaje en didi,24420,transporte,CL,CLP
taller mecanico,12986,transporte,CL,CLP
compra en montserrat,45708,alimentacion,CL,CLP
isapre colmena,40003,salud,CL,CLP
cuenta de gas lipigas,63532,servicios,CL,CLP
consulta optica,147394,salud,AR,ARS
isapre esencial,68242,salud,CL,CLP
paseo,28982,ocio,CL,CLP
farmacity,57483,salud,AR,ARS
plan de internet hogar,111104,servicios,AR,ARS
compra en sportclub,49409,otros,AR,ARS
personal,100769,servicios,AR,ARS
mensualidad universidad de santiago,63974,educacion,CL,CLP
puma,40851,transporte,AR,ARS
curso de ingles,124951,educacion,CL,CLP
compra en sodimac,538703,vivienda,AR,ARS
compra en sportclub,15728,otros,AR,ARS
consulta en farmacia del pueblo,53783,salud,AR,ARS
mensualidad universidad,290485,educacion,CL,CLP
chilquinta,51856,servicios,CL,CLP
pago cuenta wom,19409,servicios,CL,CLP
recarga bip!,14526,transporte,CL,CLP
regalo cumpleanos,5528,otros,CL,CLP
taller mecanico,46884,transporte,AR,ARS
plan de internet hogar,61614,servicios,AR,ARS
pago mensualidad sportclub,62198,otros,AR,ARS
pago cuenta movistar,60734,servicios,CL,CLP
viaje en uber,10506,transporte,CL,CLP
reparacion del hogar,393245,vivienda,CL,CLP
suscripcion a cine hoyts,12395,ocio,CL,CLP
tramite en notaria,37077,otros,CL,CLP
shell,8720,transporte,AR,ARS
pago cuenta enel,33005,servicios,CL,CLP
examen de laboratorio,54698,salud,AR,ARS
pago en uber,10933,transporte,CL,CLP
consulta en farmacia del pueblo,53032,salud,AR,ARS
disney plus,9399,ocio,AR,ARS
salida a un bar,35937,ocio,CL,CLP
inscripcion en udemy,290205,educacion,CL,CLP
sesion psicologo,54968,salud,CL,CLP
suscripcion a inacap,204977,educacion,CL,CLP
pago en rappi,69824,alimentacion,AR,ARS
pago en sodimac,444339,vivienda,CL,CLP
compra en salcobrand,52301,salud,CL,CLP
examen laboratorio,76643,salud,CL,CLP
integramedica,43696,salud,CL,CLP
cinepolis,47877,ocio,CL,CLP
estacionamiento,36780,transporte,CL,CLP
isapre cruz blanca,36439,salud,CL,CLP
restaurante,20925,alimentacion,CL,CLP
pago en montserrat,51936,alimentacion,CL,CLP
curso de ingles,280845,educacion,CL,CLP
paseo,21676,ocio,CL,CLP
vtr,61708,servicios,CL,CLP
compra en spotify,41035,ocio,CL,CLP
compra en makro,9610,alimentacion,AR,ARS
consulta en farmacia del pueblo,12439,salud,AR,ARS
clinica alemana,68532,salud,CL,CLP
pago coursera,98329,educacion,AR,ARS
compra en cruz verde,80392,salud,CL,CLP
peaje,7541,transporte,AR,ARS
edenor,49170,servicios,AR,ARS
permiso de circulacion,29497,transporte,CL,CLP
pedido en juan valdez,49866,alimentacion,CL,CLP
cafe,47129,alimentacion,CL,CLP
cuota universidad privada,180622,educacion,AR,ARS
pago mensualidad sportlife,14194,otros,CL,CLP
pago factura edesur,75514,servicios,AR,ARS
compra en sportlife,33140,otros,CL,CLP
pago platzi,165402,educacion,AR,ARS
pago udemy,204311,educacion,CL,CLP
suscripcion a hbo max,46859,ocio,CL,CLP
gasto imprevisto,14374,otros,AR,ARS
pago en puma,50033,transporte,AR,ARS
paseo,29618,ocio,CL,CLP
cruz verde,80529,salud,CL,CLP
pago cuenta enel,64918,servicios,CL,CLP
pago plan movistar,47589,servicios,CL,CLP
veterinaria,47046,otros,CL,CLP
cuenta de gas abastible,65027,servicios,CL,CLP
plan de internet hogar,37241,servicios,AR,ARS
verduleria de barrio,31507,alimentacion,AR,ARS
gasto imprevisto,34879,otros,AR,ARS
pago mensualidad sportclub,30371,otros,AR,ARS
almuerzo,51246,alimentacion,CL,CLP
jardin de infantes,244352,educacion,AR,ARS
compra en sportlife,19735,otros,CL,CLP
dia,26566,alimentacion,AR,ARS
sesion kinesiologo,136003,salud,AR,ARS
cge,44146,servicios,CL,CLP
compra en acuenta,10957,alimentacion,CL,CLP
compra en megatlon,67451,otros,AR,ARS
suscripcion a coursera,162976,educacion,AR,ARS
compra en megatlon,48844,otros,AR,ARS
cuenta de gas lipigas,56025,servicios,CL,CLP
alquiler casa,828370,vivienda,AR,ARS
pago mensualidad megatlon,64060,otros,AR,ARS
pago en jumbo,31010,alimentacion,AR,ARS
suscripcion a cinepolis,40296,ocio,CL,CLP
suscripcion a udemy,399882,educacion,AR,ARS
compra en ticketek,48128,ocio,AR,ARS
pago mensualidad pacific gym,21268,otros,CL,CLP
compra en easy,468752,vivienda,AR,ARS
peaje,37053,transporte,AR,ARS
consulta optica,89848,salud,AR,ARS
entrada spotify,15038,ocio,AR,ARS
shell,23572,transporte,CL,CLP
sesion psicologo,88066,salud,CL,CLP
pago plan chilquinta,29768,servicios,CL,CLP
recarga bip!,22723,transporte,CL,CLP
pedido en la anonima,16665,alimentacion,AR,ARS
suscripcion a coursera,232909,educacion,CL,CLP
compra en easy,240470,vivienda,CL,CLP
prevencion salud,91813,salud,AR,ARS
salida a un bar,16473,ocio,CL,CLP
verduleria de barrio,56967,alimentacion,AR,ARS
colectivo,23372,transporte,AR,ARS
pago sodimac,332316,vivienda,AR,ARS
pago factura flow,85621,servicios,AR,ARS
reparacion del hogar,185197,vivienda,CL,CLP
viaje en beat,18108,transporte,CL,CLP
tramite en notaria,38201,otros,CL,CLP
panaderia,42940,alimentacion,CL,CLP
inscripcion en platzi,253078,educacion,AR,ARS
cuota jardin infantil,137722,educacion,CL,CLP
compra en barugel azulay,863123,vivienda,AR,ARS
peluqueria,42412,otros,AR,ARS
plan de internet hogar,29486,servicios,CL,CLP
mensualidad universidad catolica,212854,educacion,CL,CLP
restaurante,51456,alimentacion,AR,ARS
consulta en farmacity,45956,salud,AR,ARS
compra en construmart,387841,vivienda,CL,CLP
suscripcion a inacap,255367,educacion,CL,CLP
farmacias ahumada,21547,salud,CL,CLP
almuerzo,54209,alimentacion,CL,CLP
compra en ticketmaster,20051,ocio,CL,CLP
pago cuenta chilquinta,24897,servicios,CL,CLP
enel,20418,servicios,CL,CLP
servicio de aseo,231014,vivienda,CL,CLP
entrada a concierto,42900,ocio,CL,CLP
plan de internet hogar,24758,servicios,CL,CLP
pago en didi,36158,transporte,CL,CLP
easy,446802,vivienda,AR,ARS
compra en clinica alemana,68156,salud,CL,CLP
pago en terpel,35166,transporte,CL,CLP
pago barugel azulay,492800,vivienda,AR,ARS
pago plan gtd manquehue,59544,servicios,CL,CLP
compra en telepizza,40427,alimentacion,CL,CLP
pago cuenta wom,34734,servicios,CL,CLP
carga bencina en pullman bus,31577,transporte,CL,CLP
salida fin de semana,43949,ocio,AR,ARS
pago en sodimac,228838,vivienda,CL,CLP
spotify,50335,ocio,AR,ARS
reparacion del hogar,527900,vivienda,AR,ARS
tramite en escribania,63267,otros,AR,ARS
movistar,62940,servicios,CL,CLP
entrada cine hoyts,59138,ocio,AR,ARS
compra en sportlife,35347,otros,CL,CLP
feria la vega central,9801,alimentacion,CL,CLP
construmart,424762,vivienda,CL,CLP
pago cuenta movistar,27280,servicios,CL,CLP
pago plan chilquinta,77080,servicios,CL,CLP
jumbo,49934,alimentacion,AR,ARS
subte,19506,transporte,AR,ARS
peluqueria,33130,otros,CL,CLP
multa,32591,otros,AR,ARS
sportclub,20684,otros,AR,ARS
compra en easy,843042,vivienda,AR,ARS
consulta en farmacia del pueblo,34366,salud,AR,ARS
pago cuota farmacity,142172,salud,AR,ARS
compra en mayorista 10,41789,alimentacion,CL,CLP
cuota colegio,77756,educacion,AR,ARS
pacific gym,10401,otros,CL,CLP
metrogas,84217,servicios,AR,ARS
pago mensualidad pacific gym,14264,otros,CL,CLP
entrada cine hoyts,25617,ocio,AR,ARS
jardin de infantes,155439,educacion,AR,ARS
compra en sportclub,15657,otros,AR,ARS
pago cuota farmacia del pueblo,44962,salud,AR,ARS
steam,25380,ocio,CL,CLP
clinica davila,57521,salud,CL,CLP
pago coursera,99317,educacion,AR,ARS
peaje autopista,14543,transporte,CL,CLP
pago udemy,112500,educacion,AR,ARS
omint,99352,salud,AR,ARS
cuenta de gas metrogas,52027,servicios,CL,CLP
inscripcion en coursera,150316,educacion,AR,ARS
pago en sodimac,184436,vivienda,CL,CLP
carga bencina en terpel,32543,transporte,CL,CLP
alquiler casa,502897,vivienda,AR,ARS
suscripcion a ticketek,26978,ocio,AR,ARS
isapre cruz blanca,14807,salud,CL,CLP
pago en la anonima,19015,alimentacion,AR,ARS
pago sodimac,567403,vivienda,AR,ARS
compra en hbo max,63981,ocio,AR,ARS
almuerzo,24620,alimentacion,CL,CLP
compra en starbucks,43251,alimentacion,CL,CLP
pago en la anonima,40748,alimentacion,AR,ARS
suscripcion a cinemark,40239,ocio,AR,ARS
pago udemy,145543,educacion,AR,ARS
viaje en axion,44888,transporte,AR,ARS
vtr,51181,servicios,CL,CLP
compra en barugel azulay,373199,vivienda,AR,ARS
compra en cinepolis,23824,ocio,CL,CLP
compra en barugel azulay,305274,vivienda,AR,ARS
gasto imprevisto,26925,otros,AR,ARS
feria la vega central,44920,alimentacion,CL,CLP
plan de internet hogar,33267,servicios,AR,ARS
cabify,31027,transporte,AR,ARS
coursera,285985,educacion,CL,CLP
entrada netflix,39356,ocio,CL,CLP
panaderia,50899,alimentacion,AR,ARS
plan de internet hogar,65453,servicios,AR,ARS
examen de laboratorio,139526,salud,AR,ARS
platzi,224613,educacion,AR,ARS
viaje en puma,19300,transporte,AR,ARS
pago sodimac,550484,vivienda,AR,ARS
compra en farmacia del pueblo,114923,salud,AR,ARS
inacap,33982,educacion,CL,CLP
pago en uber,49853,transporte,AR,ARS
edenor,30215,servicios,AR,ARS
compra en farmacity,25373,salud,AR,ARS
carga nafta en shell,38213,transporte,AR,ARS
gastos comunes,218153,vivienda,CL,CLP
viaje en terpel,38118,transporte,CL,CLP
compra en sodimac,440564,vivienda,CL,CLP
compra en farmacity,56353,salud,AR,ARS
megatlon,26380,otros,AR,ARS
